condition,symptoms,causes,warnings,recommendations
Urinary tract infection (UTI),infections of the bladder cystitis or urethra tube that carries urine out of the body are known as lower utis these can cause lower utis are common and aren t usually a cause for major concern you can speak to your pharmacist for advice and treatment on lower utis in women speak to your gp for advice and treatment on lower utis in men or children if your gp is closed phone 111 infections of the kidneysor ureters tubes connecting the kidneys to the bladder are known as upper utis these can cause the same symptoms as lower utis and also upper utis can be serious if left untreated as they could damage the kidneys or spread to the bloodstream your gp team can in some people uti symptoms do not go away short term antibiotics do not work and urine tests do not show an infection this might mean you have a chronic long term uti this can be caused by bacteria entering the lining of the bladder because urine tests do not always pick up the infection and the symptoms can be similar to other conditions chronic utis can be hard to diagnose chronic utis might be treated with antibiotics that you take for a long time chronic utis can have a big impact on your quality of life if you have been treated for a uti but you still have symptoms speak to your gp about chronic utis and ask to be referred to a specialist,"UTIs occur when the urinary tract becomes infected, usually by bacteria. In most cases, bacteria from the gut enter the urinary tract through the urethra. This may happen when wiping your bottom or having sex. But often it’s not clear why it happens. The following may increase your risk of getting a UTI: Women may be more likely to get UTIs because their urethra is shorter than a man’s and is closer to their anus (back passage).",,"UTIs are normally treated with a short term course ofantibiotics. Most women are given a 3-day course of antibiotic capsules or tablets. Men, pregnant women and people with more serious symptoms may need a slightly longer course. Your symptoms will normally pass within 3 to 5 days of starting treatment. Make sure you complete the whole course of antibiotics that you’ve been prescribed, even if you’re feeling better. Over-the-counter pain relief such asparacetamolcan help with any pain. Drinking plenty of fluids may also help you feel better. Return to your GP if your symptoms don’t improve, get worse, or come back after treatment."
Vaginal cancer,the most common symptom of vaginal cancer is abnormal vaginal bleeding this includes other symptoms can include speak to your gp if you experience any abnormal vaginal bleeding changes in your usual pattern of periods such as irregular periods or heavier periods than usual or problems urinating while it s highly unlikely that these symptoms are caused by vaginal cancer they should still be investigated by your gp read more about diagnosing vaginal cancer,"The exact causes of vaginal cancer are unknown, but things that may increase your risk of developing it include: As there is a possible link with HPV, it may be possible to reduce your risk of vaginal cancer by practising safe sex. TheHPV vaccination, which is routinely offered to girls who are 12 to 13 years old, provides protection against 2 strains of HPV thought to be responsible for most cases of vaginal and cervical cancer. Read more about thecauses of vaginal cancer. Cancer occurs when the cells in a certain area of your body divide and multiply too rapidly. This produces a lump of tissue known as a tumour. The exact reason why this happens in cases of vaginal cancer is unknown, but certain things can increase your chances of developing the condition.",,"Treatment for vaginal cancer depends on which part of your vagina is affected and how far the cancer has spread (known as the ‘stage’). The main treatments for vaginal cancer are: These treatments can cause both short- and long-term side effects that should be discussed with your care team before treatment begins. Read more abouttreating vaginal cancer Treatment for vaginal cancer will depend on where the cancer is in your vagina and how far it has spread. Possible treatments include radiotherapy, surgery and chemotherapy. When you are diagnosed with cancer, you will be cared for by a group of different healthcare professionals, known as a multidisciplinary team (MDT). Your MDT will include a range of specialists, including surgeons, clinical oncologists (specialists in the non-surgical treatment of cancer), and specialist cancer nurses. Your MDT will recommend a treatment plan they feel is most suitable for you, but the final decision will be yours. Before going to hospital to discuss your treatment options, you may find it useful to write a list of questions to ask the specialist. For example, you may want to find out the advantages and disadvantages of particular treatments. Treatment for vaginal cancer can have a significant emotional impact, particularly for young women who experience an early menopause as a result of treatment. The removal of some or all of the vagina can be traumatic for pre- and post-menopausal women alike, and some women feel less ‘womanly’ than they did before. It’s not uncommon to feel a sense of loss and bereavement after treatment. In some women, this may lead todepression. You may find it helpful to talk to other women who have had similar treatment. Your GP or hospital staff may be able to recommend a suitable local support group. Charities can also help: If feelings of depression persist, speak to your GP about the treatment and support available."
Varicose eczema,like all types of eczema the affected skin becomes there may be periods when these symptoms improve and periods when they become more severe your legs may become swollen especially towards the end of the day or after long periods of standing varicose veins swollen and enlarged veins are often visible on the legs some people also have other symptoms such as left untreated leg ulcerscan develop these are long lasting wounds that form where the skin has become damaged,"Varicose eczema is caused by increased pressure in the leg veins. When the small valves in the veins stop working properly, it’s difficult for blood to be pushed against gravity and it can leak backwards. This increases the pressure in the veins, which can cause fluid to leak into the surrounding tissue. It is thought that varicose eczema may develop as a result of the immune system reacting to this fluid. Varicose eczema is more common in people with varicose veins, as these are also often a sign that the leg veins aren’t working properly. Read more about thecauses of varicose eczema. Varicose eczema is usually caused by increased pressure in your leg veins. Inside your veins there are valves that let the blood through in one direction and prevent it flowing backwards. Sometimes, the walls of the veins can become stretched and lose their elasticity, causing the valves to become weakened. If the valves do not function properly, blood may leak backwards. This increases the pressure in your veins, which may cause fluid to leak into surrounding tissues. It is thought that varicose eczema may develop as a result of your immune system reacting to these fluids in the tissues under your skin. This increase in pressure can also cause blood to collect in your veins, which become swollen and enlarged (varicose veins).",,"Varicose eczema tends to be a long-term problem. However, treatments are available to help keep it under control. For most people, treatment involves a combination of: If these treatments don’t help, your GP may refer you to a dermatologist (skin specialist) in case there is another cause for your symptoms or if they are concerned you may also have a type of eczema called contact dermatitis. If you also have varicose veins, you may be referred to a vascular specialist (a doctor or surgeon specialising in conditions affecting the blood vessels) who can talk to you about the treatment options for varicose veins. Read more abouttreating varicose eczema. Treatment for varicose eczema aims to improve the condition of your skin, treat your symptoms and help improve your circulation (blood flow). For many people, this will involve long-term treatment with a combination of: There are also some self-help techniques that you can try. These treatment options are described in more detail below. Lipodermatosclerosis (hardened, tight skin) is treated in a similar way to varicose eczema. If you have avenous leg ulcer, you can also read abouttreating venous leg ulcers. If you havevaricose veins, as well as varicose eczema, treating these may sometimes be helpful. If your GP thinks treatment may be beneficial, they can refer you to a vascular surgeon, who can arrange for anultrasound scanof your leg to find the faulty blood vessels. Treatment of your varicose veins can then be planned. There are a number of treatments available that can improve the symptoms and appearance of varicose veins, including: These procedures are usually performed in the day surgery department of a hospital."
Varicose veins,varicose veins are widened veins that look swollen and twisted under the skin they may be lumpy or bulge out it s most common for varicose veins to develop in the legs but you can get them on other parts of the body too other symptoms of varicose veins can include these symptoms are usually worse during warm weather or if you ve been standing up for long periods of time they may improve if you rest and raise your legs,"Varicose veins happen when the valves that control the flow of blood in your vein don’t work properly. This causes blood to build up and put pressure on the vein, which makes it swell and twist.",,"Most varicose veins don’t need to be treated. A GP may refer you to a specialist for tests and treatment if you have: Treatment to improve how varicose veins look isn’t usually available on the NHS if they don’t cause any other problems. You may be able to pay for it privately. If you’re referred to a specialist they’ll usually do a test called a duplex ultrasound. This is a type of scan to check your blood flow. This helps to confirm if you have varicose veins and helps to plan your treatment. There are different types of treatment that may be offered, including: The specialist will explain which treatment may be best for you. They’ll also explain the benefits and risks."
Vascular dementia,vascular dementia can start suddenly or begin slowly over time symptoms include many people with vascular dementia also havealzheimer s disease these problems can make daily activities increasingly difficult,Vascular dementia is caused by reduced blood flow to the brain. This damages and eventually kills brain cells. Reduced blood flow to the brain can be caused by:,,"There’s currently no cure for vascular dementia. But, there are treatments that can help manage the symptoms. Your GP or healthcare professional can discuss the best treatment options for you. There are things you can do to live well for as long as possible with dementia. Read more about living well with dementia Your future health and social care needs will need to be assessed and a care plan drawn up. This is a way of ensuring you receive the right treatment for your needs. It involves identifying areas where you may need some help, like:"
Vitamin B12 or folate deficiency anaemia,vitamin b12 and folate perform several important functions in the body including keeping the nervous system healthy a deficiency in either of these vitamins can cause a wide range of problems including some of these problems can also occur if you have a deficiency in vitamin b12 or folate but don t have anaemia read about thesymptoms of vitamin b12 or folate deficiency anaemia vitamin b12 or folate deficiency anaemia can cause a wide range of symptoms these usually develop gradually but can worsen if the condition goes untreated anaemia is where you have fewer red blood cells than normal or you have an abnormally low amount of a substance called haemoglobin in each red blood cell general symptoms of anaemia may include if you have anaemia caused by a vitamin b12 deficiency you may have other symptoms in addition to those listed above such as some of these symptoms can also occur in people who have a vitamin b12 deficiency but have not developed anaemia additional symptoms in people with anaemia caused by a folate deficiency can include,"There are a number of problems that can lead to a vitamin B12 or folate deficiency, including: Both vitamin B12 deficiency and folate deficiency are more common in older people, affecting around 1 in 10 people aged 75 or over, and 1 in 20 people aged 65 to 74. Read about thecauses of vitamin B12 or folate deficiency anaemia Vitamin B12 or folate deficiency anaemia occurs when a lack of either of these vitamins affects the body’s ability to produce fully functioning red blood cells. Red blood cells carry oxygen around the body. Most people with vitamin B12 or folate deficiency anaemia have underdeveloped red blood cells that are larger than normal. The medical term for this is “megaloblastic anaemia”. A vitamin B12 or folate deficiency can be the result of a variety of problems, some of which are described below. Pernicious anaemia is the most common cause of vitamin B12 deficiency in the UK. Pernicious anaemia is an autoimmune condition that affects your stomach. An autoimmune condition means your immune system (the body’s natural defence system that protects against illness and infection) attacks your body’s healthy cells. In your stomach, vitamin B12 is combined with a protein called intrinsic factor. This mix of vitamin B12 and intrinsic factor is then absorbed into the body in part of the gut called the distal ileum. Pernicious anaemia causes your immune system to attack the cells in your stomach that produce the intrinsic factor, which means your body is unable to absorb vitamin B12. The exact cause of pernicious anaemia is unknown, but the condition is more common in women around 60 years of age, people with a family history of the condition and those with another autoimmune condition, such asAddison’s diseaseor vitiligo. Some people can develop a vitamin B12 deficiency as a result of not getting enough vitamin B12 from their diet. A diet that includes meat, fish and dairy products usually provides enough vitamin B12, but people who don’t regularly eat these foods – such as those following a vegan diet or who have a generally very poor diet – can become deficient. Stores of vitamin B12 in the body can last around two to four years without being replenished, so it can take a long time for any problems to develop after a dietary change. Some stomach conditions or stomach operations can prevent the absorption of enough vitamin B12. For example, a gastrectomy (a surgical procedure where part of your stomach is removed) increases your risk of developing a vitamin B12 deficiency. Some conditions that affect your intestines can also stop you from absorbing the necessary amount of vitamin B12. For example,Crohn’s disease(a long-term condition that causes inflammation of the lining of the digestive system) can sometimes mean your body doesn’t get enough vitamin B12. Some types of medicine can lead to a reduction in the amount of vitamin B12 in your body. For example, proton pump inhibitors (PPIs) – a medication sometimes used to treat indigestion – can make a vitamin B12 deficiency worse. PPIs inhibit the production of stomach acid, which is needed to release vitamin B12 from the food you eat. Your GP will be aware of medicines that can affect your vitamin B12 levels and will monitor you if necessary. Some people can experience problems related to a vitamin B12 deficiency, despite appearing to have normal levels of vitamin B12 in their blood. This can occur due to a problem known as functional vitamin B12 deficiency – where there’s a problem with the proteins that help transport vitamin B12 between cells. This results in neurological complications involving the spinal cord. Folate dissolves in water, which means your body is unable to store it for long periods of time. Your body’s store of folate is usually enough to last four months. This means you need folate in your daily diet to ensure your body has sufficient stores of the vitamin. Like vitamin B12 deficiency anaemia, folate deficiency anaemia can develop for a number of reasons. Some are described below. Good sources of folate include broccoli, Brussels sprouts, asparagus, peas, chickpeas and brown rice. If you don’t regularly eat these types of foods, you may develop a folate deficiency. Folate deficiency caused by a lack of dietary folate is more common in people who have a generally unbalanced and unhealthy diet, people who regularly misuse alcohol and people following a fad diet that doesn’t involve eating good sources of folate. Sometimes your body may be unable to absorb folate as effectively as it should. This is usually due to an underlying condition affecting your digestive system, such ascoeliac disease. You may lose folate from your body if you urinate frequently. This can be caused by an underlying condition that affects one of your organs, such as: Some types of medicine reduce the amount of folate in your body, or make the folate harder to absorb. These include some anticonvulsants (medication used to treat epilepsy), colestyramine, sulfasalazine and methotrexate. Your GP will be aware of medicines that can affect your folate levels and will monitor you if necessary. Your body sometimes requires more folate than normal. This can cause folate deficiency if you can’t meet your body’s demands for the vitamin. Your body may need more folate than usual if you: Premature babies (born before the 37th week of pregnancy) are also more likely to develop a folate deficiency, because their developing bodies require higher amounts of folate than normal. If you’re pregnant or trying to get pregnant, it’s recommended that you take a 400 microgram folic acid tablet every day until you’re 12 weeks pregnant. This will ensure that both you and your baby have enough folate and help your baby grow and develop. Folic acid tablets are available with a prescription from your GP, or you can buy them over the counter from pharmacies, large supermarkets and health food stores. If you’re pregnant and have another condition that may increase your body’s need for folate, such as those mentioned above, your GP will monitor you closely to prevent you from becoming anaemic. In some cases, you may need a higher dose of folic acid. For example, if you have diabetes, you should take a 5 milligrams (5mg or 5,000 micrograms) supplement of folic acid instead of the standard 0.4 milligrams (0.4mg or 400 micrograms). Read more aboutvitamins and minerals in pregnancy If your symptoms and blood test results suggest a vitamin B12 or folate deficiency, your GP may arrange further tests. If the cause can be identified, it will help to determine the most appropriate treatment. For example, you may have additional blood tests to check for a condition called pernicious anaemia. This is an autoimmune condition (where your immune system produces antibodies to attack healthy cells), which means you’re unable to absorb vitamin B12 from the food you eat. Tests for pernicious anaemia aren’t always conclusive, but they can often give your GP a good idea of whether you have the condition.",,"Most cases of vitamin B12 and folate deficiency can be easily treated with injections or tablets to replace the missing vitamins. Vitamin B12 supplements are usually given by injection at first. Then, depending on whether your B12 deficiency is related to your diet, you’ll either require B12 tablets between meals or regular injections. These treatments may be needed for the rest of your life. Folic acid tablets are used to restore folate levels. These usually need to be taken for four months. In some cases, improving your diet can help treat the condition and prevent it recurring. Vitamin B12 is found in meat, fish, eggs, dairy products, yeast extract (such as Marmite) and specially fortified foods. The best sources of folate include green vegetables such as broccoli, Brussels sprouts and peas. Read abouttreating vitamin B12 or folate deficiency The treatment for vitamin B12 or folate deficiency anaemia depends on what’s causing the condition. Most people can be easily treated with injections or tablets to replace the missing vitamins. Vitamin B12 deficiency anaemia is usually treated with injections of vitamin B12, in a form called hydroxocobalamin. At first, you’ll have these injections every other day for two weeks, or until your symptoms have stopped improving. Your GP or nurse will give the injections. After this initial period, your treatment will depend on whether the cause of your vitamin B12 deficiency is related to your diet. The most common cause of vitamin B12 deficiency in the UK is pernicious anaemia, which isn’t related to your diet. Read more about thecauses of vitamin B12 or folate deficiency If your vitamin B12 deficiency is caused by a lack of the vitamin in your diet, you may be prescribed vitamin B12 tablets to take every day between meals. Alternatively, you may need to have an injection of hydroxocobalamin twice a year. People who find it difficult to get enough vitamin B12 in their diets, such as those following a vegan diet, may need vitamin B12 tablets for life. Although it’s less common, people with vitamin B12 deficiency caused by a prolonged poor diet may be advised to stop taking the tablets once their vitamin B12 levels have returned to normal and their diet has improved. Good sources of vitamin B12 include: If you’re a vegetarian and vegan, or are looking for alternatives to meat and dairy products, there are other foods that contain vitamin B12, such as yeast extract (including Marmite), as well as some fortified breakfast cereals and soy products. Check the nutrition labels while food shopping to see how much vitamin B12 different foods contain. If your vitamin B12 deficiency isn’t caused by a lack of vitamin B12 in your diet, you’ll usually need to have an injection of hydroxocobalamin every three months for the rest of your life. If you’ve had neurological symptoms (symptoms that affect your nervous system, such as numbness or tingling in your hands and feet) caused by a vitamin B12 deficiency, you’ll be referred to a haematologist, and you may need to have injections every two months. Your haematologist will advise on how long you need to keep taking the injections. For injections of vitamin B12 given in the UK, hydroxocobalamin is preferred to an alternative called cyanocobalamin. This is because hydroxocobalamin stays in the body for longer. If you need regular injections of vitamin B12, cyanocobalamin would need to be given once a month, whereas hydroxocobalamin can be given every three months. Cyanocobalamin injections aren’t routinely available on the NHS. However, if you need replacement tablets of vitamin B12, these will be cyanocobalamin. To treat folate deficiency anaemia, your GP will usually prescribe daily folic acid tablets to build up your folate levels. They may also give you dietary advice so you can increase your folate intake. Good sources of folate include: Most people need to take folic acid tablets for about four months. However, if the underlying cause of your folate deficiency anaemia continues, you may have to take folic acid tablets for longer – possibly for life. Before you start taking folic acid, your GP will check your vitamin B12 levels to make sure they’re normal. This is because folic acid treatment can sometimes improve your symptoms so much that it masks an underlying vitamin B12 deficiency. If a vitamin B12 deficiency isn’t detected and treated, it could affect your nervous system."
Vulval cancer,symptoms of vulval cancer can include speak to your gp if you notice any changes in the usual appearance of your vulva while it s highly unlikely to be the result of cancer these changes should be investigated read more aboutdiagnosing vulval cancer,"The exact cause of vulval cancer is unclear, but your risk of developing the condition is increased by the following factors: You may be able to reduce your risk of vulval cancer by stopping smoking and taking steps to reduce the chances of picking up an HPV infection. Read more about thecauses of vulval cancer. Cancer occurs when the cells in a certain area of your body divide and multiply too rapidly. This produces a lump of tissue known as a tumour. The exact reason why this happens in cases of vulval cancer is unknown, but certain things can increase your chances of developing the condition. These include:",,"The main treatment for vulval cancer is surgery to remove the cancerous tissue from the vulva and any lymph nodes containing cancerous cells. Some people may also haveradiotherapy(where radiation is used to destroy cancer cells) orchemotherapy(where medication is used to kill cancer cells), or both. Radiotherapy and chemotherapy may be used without surgery if you’re not well enough to have an operation, or if the cancer has spread and it isn’t possible to remove it all. Read more abouttreating vulval cancer. Treatment for vulval cancer depends on factors such as how far the cancer has spread, your general health, and personal wishes. The main options are surgery,radiotherapyandchemotherapy. Many women and anyone with a vulva with vulval cancer have a combination of these treatments. If your cancer is at an early stage, it’s often possible to get rid of it completely. However, this may not be possible if the cancer has spread. Even after successful treatment, there is up to a 1 in 3 chance of the cancer returning at some point later on, so you’ll need regular follow-up appointments to check for this. Most hospitals use multidisciplinary teams (MDTs) to treat vulval cancer. MDTs are teams of specialists that work together to make decisions about the best way to proceed with your treatment. Members of your MDT will probably include a specialist surgeon, a specialist in the non-surgical treatment of cancer (clinical oncologist) and a specialist cancer nurse. Deciding which treatment is best for you can often be confusing. Your cancer team will recommend what they think is the best treatment option, but the final decision will be yours. Before visiting hospital to discuss your treatment options, you may find it useful to write a list of questions you would like to ask the specialist. For example, you may want to find out the advantages and disadvantages of particular treatments."
Whiplash,common symptoms of whiplash include you may also experience short term,,,"In most cases whiplash will resolve gradually over time with the right help and advice. This can take a number of months. Things you can do to help yourself includes: More about taking painkillers If the cause of your injury has also caused emotional trauma, you may want toread more about mental wellbeingas this can impact your recovery."
Whooping cough,the first symptoms of whooping cough are similar to those of acold such as a runny nose red and watery eyes a sore throat and a slightly raised temperature intense coughing bouts start about a week later the bouts usually last a few minutes at a time and tend to be more common at night coughing usually brings up thick mucus and may be followed by vomiting between coughs you or your child may gasp for breath this may cause a whoop sound although not everyone has this the strain of coughing can cause the face to become very red and there may be some slight bleeding under the skin or in the eyes young children s skin can sometimes briefly turn dusky blue cyanosis if they have trouble breathing in very young babies the cough may not be particularly noticeable but there may be brief periods where they stop breathing the bouts will eventually start to become less severe and less frequent over time but it may be a few months before they stop completely,,,"Treatment for whooping cough depends on your age and how long you’ve had the infection. Children under 6 months who are very ill and people with severe symptoms will usually be admitted to hospital for treatment. People diagnosed during the first 3 weeks of infection may be prescribedantibioticsto take at home. These will help stop the infection spreading to others, but may not reduce the symptoms. People who’ve had whooping cough for more than 3 weeks won’t normally need any specific treatment, as they’re no longer contagious and antibiotics are unlikely to help. While you’re recovering at home, it can help to get plenty of rest, drink lots of fluids, clean away mucus and sick from your or your child’s mouth, and take painkillers such asparacetamoloribuprofenfor a fever. Avoid using cough medicines, as they’re not suitable for young children and are unlikely to be of much help."
Wilms’ tumour,the most common symptom is a swollen abdomen which is usually painless sometimes a parent or carer may feel a lump in the abdomen which can be quite large occasionally the tumour may bleed slightly and this can irritate the kidney and may be painful there may be blood in your child s urine pee or their blood pressure may be raised the child may also have a high temperature fever upset stomach weight loss or a lack of appetite,"In most children, the causes of Wilms’ tumour are unknown. Very rarely, people who develop Wilms’ tumour have other specific conditions which are present at birth (congenital malformations). These include the lack of an iris in the eye (aniridia), abnormalities of the genitals, and a condition where one side of the body is slightly larger than the other (hemihypertrophy). In 1 in 100 people with Wilms’ tumour, another family member will also have Wilms’ tumour.",,"Treatment is planned by specialists in children’s tumours and cancers. This is usually based in a children’s oncology unit within a main hospital, but some treatment may be given closer to home. Treatment will depend on a number of factors including how the cells appear under the microscope (histology) and the stage of the tumour. Treatment may include chemotherapy, radiotherapy or surgery. All children with Wilms’ tumour will have surgery. Initially, this may only involve taking a small sample of cells from the tumour to confirm the diagnosis. This is called a biopsy and is usually done under a general anaesthetic using a needle inserted through the skin. Apart from very young children (under 6 months), most patients will receive chemotherapy before having a bigger operation to remove the entire tumour. The operation usually involves removing the whole of the affected kidney (nephrectomy). After examining the whole tumour under the microscope, Wilms’ tumours can be divided into a number of risk groups based on knowledge about how these different types of tumours are likely to behave. The treatment following surgery will depend on these risk groups. The risk groups are known as LOW, STANDARD (or INTERMEDIATE), and HIGH. The majority of tumours are in the ‘standard risk’ group. So-called ‘low risk’ tumours require less treatment than standard risk tumours. Two types of Wilms’ tumour – anaplastic and blastemal – are considered to be ‘higher risk’ than other Wilms’ tumours and require more intensive (stronger) chemotherapy. About 5% to 10% of Wilms’ tumours have an appearance called anaplasia, which means the cells look very disorganised under a microscope. This group of high-risk tumours cannot be identified by looking at the biopsy because they occur when a particular type of early kidney cell survives the pre-surgery chemotherapy. These cells are known as blastemal cells. Tumours, where most of these cells survive chemotherapy, are called blastemal tumours. Other, less common types of kidney tumours may occur in children. These are usually only recognised after surgery to obtain a tumour sample. ‘Clear cell sarcoma’ and ‘malignant rhabdoid tumour’ of the kidney are 2 types of cancerous tumour, with their own treatment recommendations. Congenital mesoblastic nephroma is a non-cancerous (benign) tumour that occurs in very young children. This type of tumour usually only needs surgery and no other treatment. Chemotherapyis the use of anti-cancer (cytotoxic) drugs to destroy cancer cells. It’s usually given as an injection or drip into a vein (intravenously). Chemotherapy given before surgery is called neoadjuvant chemotherapy. What doctors find out about the tumour after surgery – for example, how the cells look under the microscope and how far the cancer has spread – helps them to decide whether additional chemotherapy should be given (adjuvant chemotherapy). This is to help reduce the risk of the cancer coming back (recurring). This chemotherapy may be given as inpatient or outpatient depending on tumour staging and risk group. Radiotherapytreats cancer by using high-energy rays to destroy the cancer cells, while doing as little harm as possible to normal cells. Not all children with Wilms’ tumour need radiotherapy. For those that do, the area to be treated depends on the stage of the tumour at diagnosis. Some children receive radiotherapy to the area around the affected kidney or, less commonly, to the whole abdomen. If the tumour has spread to the lungs, then lung radiotherapy may be needed but this depends on how well the cancer responds to initial chemotherapy; it’s not always needed. Radiotherapy may occasionally be used to shrink tumours that are too large to remove surgically. This will, ideally, allow an operation to be done. Radiotherapy can also be used when tumours have spread elsewhere in the body. In about 1 in 20 cases, Wilms’ tumour affects both kidneys. Treatment usually involves surgery to both. The aim of the treatment is to remove as much of the cancer as possible, while leaving as much healthy kidney as possible. Chemotherapy is always given. Sometimes radiotherapy is needed as well. Treatment for Wilms’ tumour often causes side effects. Your child’s doctor will discuss this with you before treatment starts. Many side effects are expected and managed effectively. Side effects can include feeling sick (nausea) and being sick (vomiting), hair loss, bruising and bleeding, tiredness, diarrhoea, and an increased risk of infection. Less common effects may include impact on the heart, kidneys, and liver. A small number of children may develop late side effects, sometimes many years later. These include a possible reduction in bone growth, a change in the way the heart and lungs work, and a slight increase in their risk of developing another cancer in later life. Infertility is a possible late side effect, although this is rare. Your child’s doctor or nurse will talk to you about any possible late side effects. These will depend on the exact treatments given. Many children have their treatment as part of a clinical research trial. Trials aim to improve our understanding of the best way to treat an illness. The trial may include comparing the standard treatment with a new or modified version. It may just involve collecting patient and tumour details including response to treatment to increase specialists’ knowledge. If appropriate, your child’s medical team will talk to you about taking part in a clinical trial, and will answer any questions you have. Written information will be provided to help explain things. Taking part in a research trial is completely voluntary, and you will be given plenty of time to decide if it’s right for your child. Sometimes, clinical trials are not available for your child’s tumour. This may be because a recent trial has just finished, or because the tumour is very rare. In these cases, you can expect your doctors and nurses to offer treatment which is agreed to be the most appropriate, using guidelines which have been prepared by experts across the country. TheChildren’s Cancer and Leukaemia Group(CCLG) is an important organisation which helps to produce these guidelines. Most children with Wilms’ tumour are cured. If the cancer comes back, it’s usually within the first 2 years. When one kidney is removed, the other will be able to work normally and can take over the work of the other kidney. Very few children have long-term kidney problems. Your child will have regular check-ups to look for any recurrence or problems following treatment. If you have specific concerns about your child’s condition and treatment, it’s best to discuss them with your child’s doctor, who knows the situation in detail."
Wolff-Parkinson-White syndrome,symptoms of wolff parkinson white syndrome can include how often episodes happen can vary from person to person some people might have episodes on a daily basis others may only experience them occasionally or have no symptoms at all,"When the heart beats normally, the muscular walls contract (tighten and squeeze) to force blood out and around the body. The muscles then relax, allowing the heart to fill with blood again. People with Wolff-Parkinson-White syndrome have an extra piece of heart tissue. This causes a ‘short circuit’ where the heart’s electrical signals quickly travel around in a loop. This can result in a very fast heart beat.",,"If you have symptoms of a rapid heart beat, this will sometimes settle down on its own without treatment. In some cases, medication or a treatment calledcatheter ablationis needed. In an emergency, the heart’s electrical activity sometimes needs to be reset. This is called electricalcardioversion."
Womb (uterus) cancer,the most common symptom of womb cancer is abnormal bleeding from the vagina although most people with abnormal bleeding don t have cancer bleeding may start as light bleeding accompanied by a watery discharge which may get heavier over time most women and anyone with a womb diagnosed with womb cancer have been through themenopause so any vaginal bleeding will be unusual in women and anyone with a womb who hasn t been through the menopause unusual vaginal bleeding may consist of less common symptoms include pain in the lower abdomen tummy and pain during sex if womb cancer reaches a more advanced stage it may cause additional symptoms these include,"It’s not known exactly what causes womb cancer, but certain things can increase your risk of developing it. Cancer begins with a change (mutation) in the structure of the DNA in cells, which can affect how they grow. This means cells grow and reproduce uncontrollably, producing a lump of tissue called a tumour. If left untreated, cancer can grow and spread to other parts of your body, either directly or through the blood and lymphatic system.",,"The most common treatment for womb cancer is the surgical removal of the womb (hysterectomy). A hysterectomy can cure womb cancer in its early stages, but you will no longer be able to get pregnant. Surgery for womb cancer is also likely to include the removal of the ovaries and fallopian tubes. Radiotherapyorchemotherapyare also sometimes used, often in conjunction with surgery. A type of hormone therapy may be used if you are yet to go through the menopause and would still like to have children. Even if your cancer is advanced and the chances of a cure are small, treatment can still help to relieve symptoms and prolong your life. Read more abouttreating womb cancer Health professionals use a staging system to describe how far womb cancer has advanced. These stages are: Your chances of surviving womb cancer depend on the stage at which it’s diagnosed. The main treatment for womb cancer is to remove the womb (hysterectomy), together with the ovaries and fallopian tubes. This is sometimes followed by radiotherapy or chemotherapy to try to kill any possible remaining cancer cells, depending on the stage and grade of the cancer. Having a hysterectomy means you will no longer be able to get pregnant. Younger women who haven’t already reached themenopausemay not want to have their womb and ovaries removed if they wish to have children. In this case, under very specific circumstances it may be possible to treat the cancer using hormone therapy. Advanced womb cancer requires a different course of treatment, usually depending more on chemotherapy. Advanced cancer may not be curable, but the treatment aims to achieve a remission, where the cancer shrinks, making you feel normal and able to enjoy life to the full. Even if there’s no chance of a cure, surgery may be carried out to remove as much of the cancer as possible. Radiotherapy, chemotherapy or hormone therapy can reduce symptoms such as pain by shrinking the cancer or slowing its growth."
Yellow fever,the symptoms of yellow fever occur in 2 stages the initial symptoms develop 3 to 6 days after infection and can include this stage will usually pass after 3 to 4 days and most people will make a full recovery however around 15 of people go on to develop more serious problems including jaundice yellowing of the skin and whites of the eyes kidney failure and bleeding from the mouth nose eyes or stomach causing blood in your vomit and stools up to half of those who experience these symptoms will die,,,"There is no specific treatment for yellow fever, but you will be monitored and the symptoms can be treated. You will be admitted to hospital for assessment and supportive care."
Zika virus,most people don t have any symptoms when they are infected with zika virus if symptoms do occur they are usually mild and start 3 to 14 days after the infection has been caught symptoms last around 2 to 7 days commonly reported symptoms include,,,There is no specific treatment for the symptoms of Zika virus. Drinking plenty of water and taking paracetamol may help to relieve symptoms.
